Entity,Code,Year,Total_GreenBeans_Tonnes
Africa (FAO),,2015,1154922.2
Americas (FAO),,2015,4806984
Angola,AGO,2015,15000
Asia,,2015,2813389.5
Asia (FAO),,2015,2813389.5
Belize,BLZ,2015,91.22
Benin,BEN,2015,48.76
Bolivia,BOL,2015,20954
Brazil,BRA,2015,2647504
Burundi,BDI,2015,18367
Cambodia,KHM,2015,369.69
Cameroon,CMR,2015,35937.99
Cape Verde,CPV,2015,52.34
Caribbean (FAO),,2015,30670.51
Central African Republic,CAF,2015,9050
Central America (FAO),,2015,969671.9
China,CHN,2015,115139.76
China (FAO),,2015,115896.76
Colombia,COL,2015,827750
Comoros,COM,2015,135.35
Congo,COG,2015,3038.73
Cook Islands,COK,2015,0.4
Costa Rica,CRI,2015,83846
Cote d'Ivoire,CIV,2015,127000
Cuba,CUB,2015,7416.54
Democratic Republic of Congo,COD,2015,30999.41
Dominica,DMA,2015,370.1
Dominican Republic,DOM,2015,9888.42
East Timor,TLS,2015,3540
Eastern Africa (FAO),,2015,875227.06
Eastern Asia (FAO),,2015,115896.76
Ecuador,ECU,2015,5297.44
El Salvador,SLV,2015,35682
Equatorial Guinea,GNQ,2015,4254.38
Ethiopia,ETH,2015,457014.22
Fiji,FJI,2015,7.76
French Polynesia,PYF,2015,20.88
Gabon,GAB,2015,107.33
Ghana,GHA,2015,736
Guatemala,GTM,2015,225653.12
Guinea,GIN,2015,32229.71
Guyana,GUY,2015,420
Haiti,HTI,2015,3660
High-income countries,,2015,98304.11
Honduras,HND,2015,332747
India,IND,2015,327000
Indonesia,IDN,2015,639412
Jamaica,JAM,2015,5755
Kenya,KEN,2015,42000
Land Locked Developing Countries (FAO),,2015,908893.9
Laos,LAO,2015,135925
Least Developed Countries (FAO),,2015,1111056.2
Liberia,LBR,2015,628.42
Low Income Food Deficit Countries (FAO),,2015,1116601.8
Low-income countries,,2015,860650.5
Lower-middle-income countries,,2015,2826533.5
Madagascar,MDG,2015,47507
Malawi,MWI,2015,7217
Malaysia,MYS,2015,5929
Melanesia,OWID_MNS,2015,58011.64
Mexico,MEX,2015,188934
Middle Africa (FAO),,2015,98396.44
Mozambique,MOZ,2015,804.44
Myanmar,MMR,2015,8300
Nepal,NPL,2015,463.58
Net Food Importing Developing Countries (FAO),,2015,1980052.4
New Caledonia,NCL,2015,6.39
Nicaragua,NIC,2015,95254.51
Nigeria,NGA,2015,1754.52
North America,,2015,1002732.4
Northern America (FAO),,2015,2390
Oceania,,2015,58060.05
Oceania (FAO),,2015,58060.05
Panama,PAN,2015,7464
Papua New Guinea,PNG,2015,57982.28
Paraguay,PRY,2015,395
Peru,PER,2015,251938
Philippines,PHL,2015,72342
Polynesia,OWID_PYA,2015,48.41
Puerto Rico,PRI,2015,3369.05
Rwanda,RWA,2015,21808
Saint Vincent and the Grenadines,VCT,2015,180.61
Samoa,WSM,2015,11.13
Sao Tome and Principe,STP,2015,8.61
Sierra Leone,SLE,2015,2756
Small Island Developing States (FAO),,2015,92984.08
South America,,2015,3804251.5
South America (FAO),,2015,3804251.5
South-eastern Asia (FAO),,2015,2344906
Southern Asia (FAO),,2015,333329.88
Sri Lanka,LKA,2015,5866.3
Suriname,SUR,2015,6
Taiwan,TWN,2015,757
Tanzania,TZA,2015,42674
Thailand,THA,2015,26089
Togo,TGO,2015,16093
Tonga,TON,2015,15.99
Trinidad and Tobago,TTO,2015,30.79
Uganda,UGA,2015,229149
United States,USA,2015,2390
Upper-middle-income countries,,2015,5047867
Vanuatu,VUT,2015,15.22
Venezuela,VEN,2015,49987
Vietnam,VNM,2015,1452999.2
Western Africa (FAO),,2015,181298.73
Western Asia (FAO),,2015,19257
World,OWID_WRL,2015,8833356
Yemen,YEM,2015,19257
Zambia,ZMB,2015,8051.05
Zimbabwe,ZWE,2015,500
Africa,,2016,1189936.9
Africa (FAO),,2016,1189936.9
Americas (FAO),,2016,5249792
Angola,AGO,2016,14679.61
Asia,,2016,2844287.2
Asia (FAO),,2016,2844287.2
Belize,BLZ,2016,89.13
Benin,BEN,2016,58.69
Bolivia,BOL,2016,21427
Brazil,BRA,2016,3024466
Burundi,BDI,2016,13624.46
Cambodia,KHM,2016,359.8
Cameroon,CMR,2016,31388
Cape Verde,CPV,2016,68.09
Caribbean (FAO),,2016,34811.79
Central African Republic,CAF,2016,10120
Central America (FAO),,2016,1015450.94
China,CHN,2016,113345.44
China (FAO),,2016,114186.44
Colombia,COL,2016,818243
Comoros,COM,2016,136.26
Congo,COG,2016,3062.07
Cook Islands,COK,2016,0.34
Costa Rica,CRI,2016,93720
Cote d'Ivoire,CIV,2016,106000
Cuba,CUB,2016,7539.75
Democratic Republic of Congo,COD,2016,29644.37
Dominica,DMA,2016,369.63
Dominican Republic,DOM,2016,11470.58
East Timor,TLS,2016,4920
Eastern Africa (FAO),,2016,928205.6
Eastern Asia (FAO),,2016,114186.44
Ecuador,ECU,2016,3904.53
El Salvador,SLV,2016,38636
Equatorial Guinea,GNQ,2016,4174.11
Ethiopia,ETH,2016,469091
Fiji,FJI,2016,16.3
French Polynesia,PYF,2016,21.59
Gabon,GAB,2016,104.51
Ghana,GHA,2016,736
Guatemala,GTM,2016,236144.72
Guinea,GIN,2016,38900
Guyana,GUY,2016,420
Haiti,HTI,2016,3840
High-income countries,,2016,106928.57
Honduras,HND,2016,366542
India,IND,2016,348000
Indonesia,IDN,2016,639305
Jamaica,JAM,2016,7580
Kenya,KEN,2016,46100
Land Locked Developing Countries (FAO),,2016,936188.9
Laos,LAO,2016,136600
Least Developed Countries (FAO),,2016,1169332.6
Liberia,LBR,2016,638.69
Low Income Food Deficit Countries (FAO),,2016,1199287.4
Low-income countries,,2016,891172.4
Lower-middle-income countries,,2016,2915478
Madagascar,MDG,2016,53093
Malawi,MWI,2016,7217
Malaysia,MYS,2016,7170
Melanesia,OWID_MNS,2016,53754.25
Mexico,MEX,2016,151714
Middle Africa (FAO),,2016,93179.52
Mozambique,MOZ,2016,840.46
Myanmar,MMR,2016,8474
Nepal,NPL,2016,532
Net Food Importing Developing Countries (FAO),,2016,2088894
New Caledonia,NCL,2016,3.55
Nicaragua,NIC,2016,122470.09
Nigeria,NGA,2016,1942.23
North America,,2016,1052222.8
Northern America (FAO),,2016,1960
Oceania,,2016,53802.73
Oceania (FAO),,2016,53802.73
Panama,PAN,2016,6135
Papua New Guinea,PNG,2016,53719.27
Paraguay,PRY,2016,395
Peru,PER,2016,277760.4
Philippines,PHL,2016,68822.93
Polynesia,OWID_PYA,2016,48.48
Puerto Rico,PRI,2016,3120.43
Rwanda,RWA,2016,24689.41
Saint Vincent and the Grenadines,VCT,2016,184.4
Samoa,WSM,2016,11.27
Sao Tome and Principe,STP,2016,6.84
Sierra Leone,SLE,2016,2275
Small Island Developing States (FAO),,2016,94260.37
South America,,2016,4197569
South America (FAO),,2016,4197569
South-eastern Asia (FAO),,2016,2357030.8
Southern Asia (FAO),,2016,354125
Sri Lanka,LKA,2016,5593
Suriname,SUR,2016,5.53
Taiwan,TWN,2016,841
Tanzania,TZA,2016,60921
Thailand,THA,2016,30579
Togo,TGO,2016,17933
Tonga,TON,2016,15.28
Trinidad and Tobago,TTO,2016,707
Uganda,UGA,2016,243061
United States,USA,2016,1960
Upper-middle-income countries,,2016,5424239.5
Vanuatu,VUT,2016,15.13
Venezuela,VEN,2016,50947.58
Vietnam,VNM,2016,1460800
Western Africa (FAO),,2016,168551.69
Western Asia (FAO),,2016,18945
World,OWID_WRL,2016,9337818
Yemen,YEM,2016,18945
Zambia,ZMB,2016,8732.02
Zimbabwe,ZWE,2016,700
Africa,,2017,1165278.4
Africa (FAO),,2017,1165278.4
Americas (FAO),,2017,5118902.5
Angola,AGO,2017,13542.99
Asia,,2017,2971828.8
Asia (FAO),,2017,2971828.8
Belize,BLZ,2017,89.3
Benin,BEN,2017,54.91
Bolivia,BOL,2017,21181
Brazil,BRA,2017,2684508
Burundi,BDI,2017,16340
Cambodia,KHM,2017,356.64
Cameroon,CMR,2017,31609.8
Cape Verde,CPV,2017,46.89
Caribbean (FAO),,2017,35275.67
Central African Republic,CAF,2017,9989.67
Central America (FAO),,2017,1121706.1
China,CHN,2017,114163.14
China (FAO),,2017,115110.14
Colombia,COL,2017,851640
Comoros,COM,2017,137.12
Congo,COG,2017,3108.09
Cook Islands,COK,2017,0.3
Costa Rica,CRI,2017,90419
Cote d'Ivoire,CIV,2017,33600
Cuba,CUB,2017,6780
Democratic Republic of Congo,COD,2017,40342.18
Dominica,DMA,2017,369.36
Dominican Republic,DOM,2017,15241
East Timor,TLS,2017,3900
Eastern Africa (FAO),,2017,963935.1
Eastern Asia (FAO),,2017,115110.14
Ecuador,ECU,2017,7564
El Salvador,SLV,2017,41141.36
Equatorial Guinea,GNQ,2017,4134.3
Ethiopia,ETH,2017,449229.8
Fiji,FJI,2017,15.07
French Polynesia,PYF,2017,20.82
Gabon,GAB,2017,102.42
Ghana,GHA,2017,736
Guatemala,GTM,2017,224000
Guinea,GIN,2017,40800
Guyana,GUY,2017,420
Haiti,HTI,2017,3969
High-income countries,,2017,103107.02
Honduras,HND,2017,477580
India,IND,2017,312000
Indonesia,IDN,2017,717962
Jamaica,JAM,2017,6222
Kenya,KEN,2017,38620
Land Locked Developing Countries (FAO),,2017,999950.44
Laos,LAO,2017,150795
Least Developed Countries (FAO),,2017,1237686.2
Liberia,LBR,2017,625.6
Low Income Food Deficit Countries (FAO),,2017,1253778.5
Low-income countries,,2017,958656
Lower-middle-income countries,,2017,2984913.2
Madagascar,MDG,2017,59602
Malawi,MWI,2017,8420
Malaysia,MYS,2017,8109.18
Melanesia,OWID_MNS,2017,47015.3
Mexico,MEX,2017,153777.4
Middle Africa (FAO),,2017,102837.27
Mozambique,MOZ,2017,806.23
Myanmar,MMR,2017,8547
Nepal,NPL,2017,466
Net Food Importing Developing Countries (FAO),,2017,2257654.2
New Caledonia,NCL,2017,5.2
Nicaragua,NIC,2017,128111.06
Nigeria,NGA,2017,1889.64
North America,,2017,1159181.8
Northern America (FAO),,2017,2200
Oceania,,2017,47063.05
Oceania (FAO),,2017,47063.05
Panama,PAN,2017,6588
Papua New Guinea,PNG,2017,46980
Paraguay,PRY,2017,442
Peru,PER,2017,337330
Philippines,PHL,2017,62077.95
Polynesia,OWID_PYA,2017,47.75
Puerto Rico,PRI,2017,1800
Rwanda,RWA,2017,31717.52
Saint Vincent and the Grenadines,VCT,2017,187.31
Samoa,WSM,2017,11.43
Sao Tome and Principe,STP,2017,7.83
Sierra Leone,SLE,2017,2277
Small Island Developing States (FAO),,2017,86945.65
South America,,2017,3959720.8
South America (FAO),,2017,3959720.8
South-eastern Asia (FAO),,2017,2520054.8
Southern Asia (FAO),,2017,317897
Sri Lanka,LKA,2017,5431
Suriname,SUR,2017,5.8
Taiwan,TWN,2017,947
Tanzania,TZA,2017,47693
Thailand,THA,2017,25909
Togo,TGO,2017,18476
Tonga,TON,2017,15.2
Trinidad and Tobago,TTO,2017,707
Uganda,UGA,2017,302063
United States,USA,2017,2200
Upper-middle-income countries,,2017,5256396
Vanuatu,VUT,2017,15.03
Venezuela,VEN,2017,56630
Vietnam,VNM,2017,1542397.9
Western Africa (FAO),,2017,98506.04
Western Asia (FAO),,2017,18767
World,OWID_WRL,2017,9303073
Yemen,YEM,2017,18767
Zambia,ZMB,2017,8760.77
Zimbabwe,ZWE,2017,545.66
Africa,,2018,1389496.5
Africa (FAO),,2018,1389496.4
Americas (FAO),,2018,6026973.5
Angola,AGO,2018,13228.18
Asia,,2018,3089587.8
Asia (FAO),,2018,3089587.8
Belize,BLZ,2018,89.88
Benin,BEN,2018,54.12
Bolivia,BOL,2018,22120.99
Brazil,BRA,2018,3552729
Burundi,BDI,2018,14216
Cambodia,KHM,2018,356.82
Cameroon,CMR,2018,34619.5
Cape Verde,CPV,2018,46
Caribbean (FAO),,2018,39601.96
Central African Republic,CAF,2018,89979.42
Central America (FAO),,2018,1162814.6
China,CHN,2018,115500
China (FAO),,2018,116519
Colombia,COL,2018,813420
Comoros,COM,2018,138.18
Congo,COG,2018,3151.08
Cook Islands,COK,2018,0.27
Costa Rica,CRI,2018,92016
Cote d'Ivoire,CIV,2018,123900
Cuba,CUB,2018,7680
Democratic Republic of Congo,COD,2018,51485
Dominica,DMA,2018,369.7
Dominican Republic,DOM,2018,18416.04
East Timor,TLS,2018,8340
Eastern Africa (FAO),,2018,993827.25
Eastern Asia (FAO),,2018,116519
Ecuador,ECU,2018,5065
El Salvador,SLV,2018,45660
Equatorial Guinea,GNQ,2018,4113.44
Ethiopia,ETH,2018,494574.38
Fiji,FJI,2018,13.04
French Polynesia,PYF,2018,21.85
Gabon,GAB,2018,104.75
Ghana,GHA,2018,736
Guatemala,GTM,2018,240400
Guinea,GIN,2018,50000
Guyana,GUY,2018,475
Haiti,HTI,2018,4167
High-income countries,,2018,103298.45
Honduras,HND,2018,478830.75
India,IND,2018,316000
Indonesia,IDN,2018,756051
Jamaica,JAM,2018,7085
Kenya,KEN,2018,41375
Land Locked Developing Countries (FAO),,2018,1119236.4
Laos,LAO,2018,154435
Least Developed Countries (FAO),,2018,1374228.5
Liberia,LBR,2018,620.95
Low Income Food Deficit Countries (FAO),,2018,1402244.4
Low-income countries,,2018,1080542.1
Lower-middle-income countries,,2018,3194944.5
Madagascar,MDG,2018,54514.81
Malawi,MWI,2018,11082
Malaysia,MYS,2018,3369.2
Melanesia,OWID_MNS,2018,53190.57
Mexico,MEX,2018,158307.98
Middle Africa (FAO),,2018,196688.98
Mozambique,MOZ,2018,798.24
Myanmar,MMR,2018,8677.84
Nepal,NPL,2018,513
Net Food Importing Developing Countries (FAO),,2018,2532840.8
New Caledonia,NCL,2018,2.6
Nicaragua,NIC,2018,141931
Nigeria,NGA,2018,1862.13
North America,,2018,1204906.6
Northern America (FAO),,2018,2490
Oceania,,2018,53239.61
Oceania (FAO),,2018,53239.61
Panama,PAN,2018,5579
Papua New Guinea,PNG,2018,53160
Paraguay,PRY,2018,441
Peru,PER,2018,369622
Philippines,PHL,2018,60312.76
Polynesia,OWID_PYA,2018,49.04
Puerto Rico,PRI,2018,975
Rwanda,RWA,2018,38643.34
Saint Vincent and the Grenadines,VCT,2018,189.22
Samoa,WSM,2018,11.7
Sao Tome and Principe,STP,2018,7.62
Sierra Leone,SLE,2018,2685
Small Island Developing States (FAO),,2018,101944.03
South America,,2018,4822067
South America (FAO),,2018,4822067
South-eastern Asia (FAO),,2018,2631468.8
Southern Asia (FAO),,2018,322958
Sri Lanka,LKA,2018,6445
Suriname,SUR,2018,5.78
Taiwan,TWN,2018,1019
Tanzania,TZA,2018,45254
Thailand,THA,2018,23619
Togo,TGO,2018,19076
Tonga,TON,2018,15.22
Trinidad and Tobago,TTO,2018,720
Uganda,UGA,2018,284225
United States,USA,2018,2490
Upper-middle-income countries,,2018,6180512
Vanuatu,VUT,2018,14.93
Venezuela,VEN,2018,58188
Vietnam,VNM,2018,1616307.2
Western Africa (FAO),,2018,198980.19
Western Asia (FAO),,2018,18642
World,OWID_WRL,2018,10559297
Yemen,YEM,2018,18642
Zambia,ZMB,2018,8514.61
Zimbabwe,ZWE,2018,491.71
Africa,,2019,1611235.5
Africa (FAO),,2019,1611235.5
Americas (FAO),,2019,5519472.5
Angola,AGO,2019,13256.51
Asia,,2019,3182731.5
Asia (FAO),,2019,3182731.5
Belize,BLZ,2019,89.44
Benin,BEN,2019,55.91
Bolivia,BOL,2019,24841
Brazil,BRA,2019,3011745
Burundi,BDI,2019,14059
Cambodia,KHM,2019,357.51
Cameroon,CMR,2019,34061.3
Cape Verde,CPV,2019,40
Caribbean (FAO),,2019,35913.89
Central African Republic,CAF,2019,202752.73
Central America (FAO),,2019,1129998.6
China,CHN,2019,120000
China (FAO),,2019,121012
Colombia,COL,2019,885120
Comoros,COM,2019,139.35
Congo,COG,2019,3173.44
Cook Islands,COK,2019,0.26
Costa Rica,CRI,2019,76385
Cote d'Ivoire,CIV,2019,95204
Cuba,CUB,2019,7800
Democratic Republic of Congo,COD,2019,52940
Dominica,DMA,2019,353.64
Dominican Republic,DOM,2019,13873.31
East Timor,TLS,2019,6180
Eastern Africa (FAO),,2019,1039789.8
Eastern Asia (FAO),,2019,121012
Ecuador,ECU,2019,8140.98
El Salvador,SLV,2019,33640.91
Equatorial Guinea,GNQ,2019,4094.87
Ethiopia,ETH,2019,482560.56
Fiji,FJI,2019,14.8
French Polynesia,PYF,2019,22.42
Gabon,GAB,2019,103.9
Ghana,GHA,2019,736
Guatemala,GTM,2019,216400
Guinea,GIN,2019,138823.75
Guyana,GUY,2019,654
Haiti,HTI,2019,4376
High-income countries,,2019,91386.48
Honduras,HND,2019,472497.97
India,IND,2019,319500
Indonesia,IDN,2019,752512
Jamaica,JAM,2019,6701
Kenya,KEN,2019,44500
Land Locked Developing Countries (FAO),,2019,1260356.2
Laos,LAO,2019,171380
Least Developed Countries (FAO),,2019,1639343.5
Liberia,LBR,2019,628.41
Low Income Food Deficit Countries (FAO),,2019,1669564.2
Low-income countries,,2019,1218317.6
Lower-middle-income countries,,2019,3371664
Madagascar,MDG,2019,65760
Malawi,MWI,2019,11000
Malaysia,MYS,2019,3558.5
Melanesia,OWID_MNS,2019,45160.39
Mexico,MEX,2019,165712.27
Middle Africa (FAO),,2019,310389.6
Mozambique,MOZ,2019,789.95
Myanmar,MMR,2019,8769
Nepal,NPL,2019,530
Net Food Importing Developing Countries (FAO),,2019,2740256.8
New Caledonia,NCL,2019,2
Nicaragua,NIC,2019,156902
Nigeria,NGA,2019,1852.02
North America,,2019,1168232.5
Northern America (FAO),,2019,2320
Oceania,,2019,45210.27
Oceania (FAO),,2019,45210.26
Panama,PAN,2019,8371
Papua New Guinea,PNG,2019,45129
Paraguay,PRY,2019,399
Peru,PER,2019,363319.6
Philippines,PHL,2019,60043.88
Polynesia,OWID_PYA,2019,49.87
Puerto Rico,PRI,2019,1820.06
Rwanda,RWA,2019,29366.01
Saint Vincent and the Grenadines,VCT,2019,189.87
Samoa,WSM,2019,11.96
Sao Tome and Principe,STP,2019,6.85
Sierra Leone,SLE,2019,2400
Small Island Developing States (FAO),,2019,88239.23
South America,,2019,4351240
South America (FAO),,2019,4351240
South-eastern Asia (FAO),,2019,2715990.5
Southern Asia (FAO),,2019,324917
Sri Lanka,LKA,2019,4887
Suriname,SUR,2019,5.44
Taiwan,TWN,2019,1012
Tanzania,TZA,2019,68147
Thailand,THA,2019,26424.38
Togo,TGO,2019,21316
Tonga,TON,2019,15.24
Trinidad and Tobago,TTO,2019,800
Uganda,UGA,2019,313933
United States,USA,2019,2320
Upper-middle-income countries,,2019,5677281
Vanuatu,VUT,2019,14.59
Venezuela,VEN,2019,57015
Vietnam,VNM,2019,1686765.1
Western Africa (FAO),,2019,261056.1
Western Asia (FAO),,2019,20812
World,OWID_WRL,2019,10358650
Yemen,YEM,2019,20812
Zambia,ZMB,2019,9003.91
Zimbabwe,ZWE,2019,531
Africa,,2020,1878258.2
Africa (FAO),,2020,1878258.2
Americas (FAO),,2020,6083682
Angola,AGO,2020,13105.14
Asia,,2020,3231212.8
Asia (FAO),,2020,3231212.8
Belize,BLZ,2020,89.54
Benin,BEN,2020,54.98
Bolivia,BOL,2020,23401
Brazil,BRA,2020,3705719
Burundi,BDI,2020,7111
Cambodia,KHM,2020,363.89
Cameroon,CMR,2020,29792.9
Cape Verde,CPV,2020,48
Caribbean (FAO),,2020,36836.1
Central African Republic,CAF,2020,289283.3
Central America (FAO),,2020,1068651.4
China,CHN,2020,114000
China (FAO),,2020,114970
Colombia,COL,2020,833400
Comoros,COM,2020,141.46
Congo,COG,2020,3246.4
Cook Islands,COK,2020,0.34
Costa Rica,CRI,2020,86791
Cote d'Ivoire,CIV,2020,82366
Cuba,CUB,2020,7500
Democratic Republic of Congo,COD,2020,53303
Dominica,DMA,2020,364.23
Dominican Republic,DOM,2020,15380.93
East Timor,TLS,2020,9095.27
Eastern Africa (FAO),,2020,1132506.9
Eastern Asia (FAO),,2020,114970
Ecuador,ECU,2020,5280.29
El Salvador,SLV,2020,35000
Equatorial Guinea,GNQ,2020,4111.39
Ethiopia,ETH,2020,584789.56
Fiji,FJI,2020,14.3
French Polynesia,PYF,2020,21.7
Gabon,GAB,2020,103.69
Ghana,GHA,2020,736
Guatemala,GTM,2020,246000
Guinea,GIN,2020,242682
Guyana,GUY,2020,600
Haiti,HTI,2020,4595
High-income countries,,2020,99206.66
Honduras,HND,2020,364552.38
India,IND,2020,298000
Indonesia,IDN,2020,762380
Jamaica,JAM,2020,6201
Kenya,KEN,2020,36900
Land Locked Developing Countries (FAO),,2020,1463353.6
Laos,LAO,2020,158190
Least Developed Countries (FAO),,2020,1921387.1
Liberia,LBR,2020,624.98
Low Income Food Deficit Countries (FAO),,2020,1947893.2
Low-income countries,,2020,1414536
Lower-middle-income countries,,2020,3374070.8
Madagascar,MDG,2020,42220
Malawi,MWI,2020,10000
Malaysia,MYS,2020,4241.08
Melanesia,OWID_MNS,2020,40530.82
Mexico,MEX,2020,175554.62
Middle Africa (FAO),,2020,392953.44
Mozambique,MOZ,2020,793.12
Myanmar,MMR,2020,8908
Nepal,NPL,2020,297
Net Food Importing Developing Countries (FAO),,2020,2884770.5
New Caledonia,NCL,2020,1.94
Nicaragua,NIC,2020,154409.88
Nigeria,NGA,2020,1879.97
North America,,2020,1107447.5
Northern America (FAO),,2020,1960
Oceania,,2020,40580.54
Oceania (FAO),,2020,40580.54
Panama,PAN,2020,6254
Papua New Guinea,PNG,2020,40500
Paraguay,PRY,2020,381
Peru,PER,2020,353205.75
Philippines,PHL,2020,60640.95
Polynesia,OWID_PYA,2020,49.72
Puerto Rico,PRI,2020,1979.74
Rwanda,RWA,2020,20459
Saint Vincent and the Grenadines,VCT,2020,186.91
Samoa,WSM,2020,12.39
Sao Tome and Principe,STP,2020,7.62
Sierra Leone,SLE,2020,2400
Small Island Developing States (FAO),,2020,87404.21
South America,,2020,4976234.5
South America (FAO),,2020,4976234.5
South-eastern Asia (FAO),,2020,2789778.2
Southern Asia (FAO),,2020,305021.6
Sri Lanka,LKA,2020,6724.6
Suriname,SUR,2020,5.67
Taiwan,TWN,2020,970
Tanzania,TZA,2020,60651
Thailand,THA,2020,22483
Togo,TGO,2020,22006
Tonga,TON,2020,15.29
Trinidad and Tobago,TTO,2020,628.28
Uganda,UGA,2020,360103
United States,USA,2020,1960
Upper-middle-income countries,,2020,6345920
Vanuatu,VUT,2020,14.58
Venezuela,VEN,2020,54242
Vietnam,VNM,2020,1763476
Western Africa (FAO),,2020,352797.94
Western Asia (FAO),,2020,21443
World,OWID_WRL,2020,11233734
Yemen,YEM,2020,21443
Zambia,ZMB,2020,8759.76
Zimbabwe,ZWE,2020,579
Africa,,2021,1911318
Africa (FAO),,2021,1911318
Americas (FAO),,2021,5167351
Angola,AGO,2021,10304
Asia,,2021,3361698.5
Asia (FAO),,2021,3361698.5
Belize,BLZ,2021,89.62
Benin,BEN,2021,55
Bolivia,BOL,2021,23451.98
Brazil,BRA,2021,2985581
Burundi,BDI,2021,13800
Cambodia,KHM,2021,363.28
Cameroon,CMR,2021,26791.02
Cape Verde,CPV,2021,40.73
Caribbean (FAO),,2021,40086
Central African Republic,CAF,2021,297961.8
Central America (FAO),,2021,1127533.5
China,CHN,2021,108000
China (FAO),,2021,108906
Colombia,COL,2021,560340
Comoros,COM,2021,141.86
Congo,COG,2021,3222.05
Cook Islands,COK,2021,0.37
Costa Rica,CRI,2021,95322
Cote d'Ivoire,CIV,2021,61312
Cuba,CUB,2021,9100
Democratic Republic of Congo,COD,2021,54096.6
Dominica,DMA,2021,351.21
Dominican Republic,DOM,2021,16558.97
East Timor,TLS,2021,13313.98
Eastern Africa (FAO),,2021,1162592
Eastern Asia (FAO),,2021,108906
Ecuador,ECU,2021,4916.87
El Salvador,SLV,2021,41910.91
Equatorial Guinea,GNQ,2021,4129.69
Ethiopia,ETH,2021,545566
Fiji,FJI,2021,14.05
French Polynesia,PYF,2021,21.99
Gabon,GAB,2021,104.11
Ghana,GHA,2021,736
Guatemala,GTM,2021,226700
Guinea,GIN,2021,261992
Guyana,GUY,2021,600
Haiti,HTI,2021,4824
High-income countries,,2021,110139.24
Honduras,HND,2021,417591.25
India,IND,2021,334000
Indonesia,IDN,2021,786191
Jamaica,JAM,2021,6507.8
Kenya,KEN,2021,34500
Land Locked Developing Countries (FAO),,2021,1495524.1
Laos,LAO,2021,161200
Least Developed Countries (FAO),,2021,2008889.5
Liberia,LBR,2021,624.78
Low Income Food Deficit Countries (FAO),,2021,2036720.2
Low-income countries,,2021,1465678.5
Lower-middle-income countries,,2021,3541361.8
Madagascar,MDG,2021,41919.5
Malawi,MWI,2021,10000
Malaysia,MYS,2021,4150.55
Melanesia,OWID_MNS,2021,47910.52
Mexico,MEX,2021,174341.4
Middle Africa (FAO),,2021,396616.84
Mozambique,MOZ,2021,796.38
Myanmar,MMR,2021,8908
Nepal,NPL,2021,315
Net Food Importing Developing Countries (FAO),,2021,3022723
New Caledonia,NCL,2021,1.92
Nicaragua,NIC,2021,165558.38
Nigeria,NGA,2021,1842.64
North America,,2021,1172328.5
Northern America (FAO),,2021,4709
Oceania,,2021,47959.81
Oceania (FAO),,2021,47959.8
Panama,PAN,2021,6020
Papua New Guinea,PNG,2021,47880
Paraguay,PRY,2021,388
Peru,PER,2021,363996.84
Philippines,PHL,2021,30303.59
Polynesia,OWID_PYA,2021,49.28
Puerto Rico,PRI,2021,1918.98
Rwanda,RWA,2021,19466.88
Saint Vincent and the Grenadines,VCT,2021,185.69
Samoa,WSM,2021,11.79
Sao Tome and Principe,STP,2021,7.56
Sierra Leone,SLE,2021,2400
Small Island Developing States (FAO),,2021,102245.18
South America,,2021,3995022.5
South America (FAO),,2021,3995022.5
South-eastern Asia (FAO),,2021,2871238
Southern Asia (FAO),,2021,339621.2
Sri Lanka,LKA,2021,5306.2
Suriname,SUR,2021,5.63
Taiwan,TWN,2021,906
Tanzania,TZA,2021,73027
Thailand,THA,2021,21774.51
Togo,TGO,2021,23106
Tonga,TON,2021,15.14
Trinidad and Tobago,TTO,2021,639.35
Uganda,UGA,2021,414007
United States,USA,2021,4709
Upper-middle-income countries,,2021,5371147.5
Vanuatu,VUT,2021,14.55
Venezuela,VEN,2021,55742.12
Vietnam,VNM,2021,1845033
Western Africa (FAO),,2021,352109.16
Western Asia (FAO),,2021,41933.49
World,OWID_WRL,2021,10488327
Yemen,YEM,2021,41933.49
Zambia,ZMB,2021,8759.43
Zimbabwe,ZWE,2021,608
Africa,,2022,1846160.5
Africa (FAO),,2022,1846160.5
Americas (FAO),,2022,5382375
Angola,AGO,2022,16767
Asia,,2022,3464493
Asia (FAO),,2022,3464493
Belize,BLZ,2022,89.53
Benin,BEN,2022,55.3
Bolivia,BOL,2022,23238.78
Brazil,BRA,2022,3179176
Burundi,BDI,2022,10500
Cambodia,KHM,2022,364.06
Cameroon,CMR,2022,26245.72
Cape Verde,CPV,2022,47
Caribbean (FAO),,2022,42210.11
Central African Republic,CAF,2022,306900.66
Central America (FAO),,2022,1044745.5
China,CHN,2022,108000
China (FAO),,2022,108980
Colombia,COL,2022,665015.94
Comoros,COM,2022,142.79
Congo,COG,2022,3244.67
Cook Islands,COK,2022,0.37
Costa Rica,CRI,2022,74620
Cote d'Ivoire,CIV,2022,89878
Cuba,CUB,2022,6252
Democratic Republic of Congo,COD,2022,58606.18
Dominica,DMA,2022,355.34
Dominican Republic,DOM,2022,19814.39
East Timor,TLS,2022,11731.07
Eastern Africa (FAO),,2022,1047665.25
Eastern Asia (FAO),,2022,108980
Ecuador,ECU,2022,7965.97
El Salvador,SLV,2022,41866
Equatorial Guinea,GNQ,2022,4110.75
